Site,Temp,pH,Channel Width (cm),Channel MAX Depth (cm),Pond area (cm2),Canopy cover (%),Bank steepness (1-4),Water flow (cm/min),Emergent Veg (%),Leaf litter (%),Branches/rocks (%),Substrate (1-4),Dis to veg (m),Distance from Nearest Light (m),Water
1,15.2,7.72,4400,32,123200,15,3,1,70,40,5,4,2,200,Permanent
2,16.6,8.13,4600,78,35190000,0,3,1,15,0,0,4,50,300,Permanent
3,15.4,7.98,600,12,7200,10,4,1,40,0,0,4,25,300,Permanent
4,15.2,7.72,4400,32,123200,15,3,1,70,40,5,4,2,200,Permanent
5,16.6,8.13,4600,78,35190000,0,3,1,15,0,0,4,50,300,Permanent
6,15.4,7.98,600,12,7200,10,4,1,40,0,0,4,25,300,Permanent
7,13.9,7.19,3670,40,23806200,90,3,1,55,6,0,4,0.5,300,Permanent
8,14.7,7.58,4530,48,24915000,0,3,1,10,0,0,4,20,300,Permanent
9,16.7,7.13,200,20,7200,3,2,1,40,8,1,4,1,300,Permanent
10,17,7.14,660,39,2415600,60,3,1,70,15,10,4,0,900,Temporary
11,14.8,7.87,800,35,3200000,0,3,2,15,5,2,4,2,800,Permanent
12,14.6,7.4,190,9.4,83600,5,1,1,30,5,5,4,0,1000,Permanent
13,15,7.3,3670,30,24222000,55,3,1,65,5,5,4,2,200,Permanent
14,,7.7,4800,50,40800000,5,3,1,15,1,5,4,40,250,Permanent
15,,7.3,440,50,836000,35,2,1,30,5,1,4,100,500,Temporary
16,14.7,7.3,3800,21,19000000,80,moderate,1,70,15,5,4,0.5,500,Permanent
17,15.1,7.18,4500,32,40230000,0,steep ,1,5,0,0,4,80,400,Permanent
18,14,8.83,500,15,325000,40,slight,1,35,30,0,5 (grass),150,100,Temporary
19,16,6.93,440,21,396000,30,2,1,50,60,10,4,0,na,Permanent
20,18,6.96,200,7.4,26000,0,1,1,0,<1,0,4,30,500,Temporary
21,18.3,7.15,60,2.5,42,0,2,1,0,<1,0,4,30,600,Temporary
22,14.4,7.52,50.6,0.32,201000,15,3,1,65,0,0,4,3,500,Permanent
23,15.3,7.89,75.2,0.24,443900,0,2,1,12,10,0,4,100,400,Permanent
24,15.4,8.32,20.2,0.18,12100,3,1,1,40,70,0,4,200,650,Temporary
25,22.5,7.78,4400,33,123200,10,3,1,70,5,0,4,0,500,Permanent
26,15,7.93,4640,55,414816,0,3,1,20,5,0,4,5,400,Permanent
27,21,6.06,200,5,6000,25,3,1,0,10,0,4,0,500,Temporary
28,18.5,7.72,3800,17,190000,25,3,1,50,10,5,4,1,500,Permanent
29,16,7.88,4500,25,405000,0,3,1,10,15,5,4,40,400,Permanent
30,20,6.95,200,14,4000,80,4,1,5,10,10,4,100,300,Temporary
31,15,8.4,8005,70,36000000,0,3,1,10,0,0,4,30,200,Permanent
32,15.2,7.2,200,20,83600,0,2,1,45,0,0,4,100,350,Temporary
33,16.7,7.1,6600,20,23760000,20,3,1,40,10,0,4,0,200,Permanent
34,15,7.3,3670,30,24222000,55,3,1,65,5,5,4,2,200,Permanent
35,,7.7,4800,50,40800000,5,3,1,15,1,5,4,40,250,Permanent
36,,7.3,440,50,836000,35,2,1,30,5,1,4,100,500,Temporary
37,14,7.7,3800,21,19000000,35,3,1,60,10,5,4,0,400,Permanent
38,15.3,7.9,4500,40,38250000,0,4,1,15,5,0,4,100,500,Permanent
39,20,6,2900,18,730000,30,1,1,15,0,10,4,200,500,Temporary
40,18.5,7.72,4400,21,15205308,30,3,1,50,5,0,4,1,300,Permanent
41,15.3,7.88,8940,32,40230000,0,3,1,35,0,0,4,80,400,Permanent
42,20,6.95,2000,14,400000,90,1,1,0,1,5,4,120,700,Temporary
